CCTV,#genre#
CCTV1综合,http://php.540734621.xyz/migu.php?id=cctv1
CCTV2财经,http://php.540734621.xyz/migu.php?id=cctv2
CCTV3综艺,http://php.540734621.xyz/migu.php?id=cctv3
CCTV4中文国际,http://php.540734621.xyz/migu.php?id=cctv4
CCTV4美洲,http://php.540734621.xyz/migu.php?id=cctv4a
CCTV4欧洲,http://php.540734621.xyz/migu.php?id=cctv4o
CCTV5体育,http://php.540734621.xyz/migu.php?id=cctv5
CCTV5+体育赛事,http://php.540734621.xyz/migu.php?id=cctv5p
CCTV6电影,http://php.540734621.xyz/migu.php?id=cctv6
CCTV7国防军事,http://php.540734621.xyz/migu.php?id=cctv7
CCTV8电视剧,http://php.540734621.xyz/migu.php?id=cctv8
CCTV9纪录,http://php.540734621.xyz/migu.php?id=cctv9
CCTV10科教,http://php.540734621.xyz/migu.php?id=cctv10
CCTV11戏曲,http://php.540734621.xyz/migu.php?id=cctv11
CCTV12社会与法,http://php.540734621.xyz/migu.php?id=cctv12
CCTV13新闻,http://php.540734621.xyz/migu.php?id=cctv13
CCTV14少儿,http://php.540734621.xyz/migu.php?id=cctv14
CCTV15音乐,http://php.540734621.xyz/migu.php?id=cctv15
CCTV17农业农村,http://php.540734621.xyz/migu.php?id=cctv17
CCTV发现之旅,http://php.540734621.xyz/migu.php?id=fxzl
CCTV老故事,http://php.540734621.xyz/migu.php?id=lgs
CCTV中学生,http://php.540734621.xyz/migu.php?id=zxs
CGTN,http://php.540734621.xyz/migu.php?id=cgtn
CGTN纪录,http://php.540734621.xyz/migu.php?id=cgtnjl
CCTV西班牙语,http://php.540734621.xyz/migu.php?id=cgtne
CCTV法语,http://php.540734621.xyz/migu.php?id=cgtnf
CCTV阿拉伯语,http://php.540734621.xyz/migu.php?id=cgtna
CCTV俄语,http://php.540734621.xyz/migu.php?id=cgtnr
卫视,#genre#
东方卫视,http://php.540734621.xyz/migu.php?id=dfws
重庆卫视,http://php.540734621.xyz/migu.php?id=cqws
吉林卫视,http://php.540734621.xyz/migu.php?id=jlws
辽宁卫视,http://php.540734621.xyz/migu.php?id=lnws
内蒙古卫视,http://php.540734621.xyz/migu.php?id=nmws
宁夏卫视,http://php.540734621.xyz/migu.php?id=nxws
甘肃卫视,http://php.540734621.xyz/migu.php?id=gsws
青海卫视,http://php.540734621.xyz/migu.php?id=qhws
陕西卫视,http://php.540734621.xyz/migu.php?id=sxws
山东卫视,http://php.540734621.xyz/migu.php?id=sdws
河南卫视,http://php.540734621.xyz/migu.php?id=hnws
湖北卫视,http://php.540734621.xyz/migu.php?id=hubws
湖南卫视,http://php.540734621.xyz/migu.php?id=hunws
江西卫视,http://php.540734621.xyz/migu.php?id=jxws
江苏卫视,http://php.540734621.xyz/migu.php?id=jsws
东南卫视,http://php.540734621.xyz/migu.php?id=dnws
海峡卫视,http://php.540734621.xyz/migu.php?id=hxws
广东卫视,http://php.540734621.xyz/migu.php?id=gdws
大湾区卫视,http://php.540734621.xyz/migu.php?id=dwqws
广西卫视,http://php.540734621.xyz/migu.php?id=gxws
