📡  更新日期,#genre#
2025-03-28,http://nctv.top/IDOEPpiryt/huya.php?id=11342412
📡  央视频道,#genre#

CCTV1,http://1.itv.nctv.top:8111/gaoma/cctv1.m3u8
CCTV2,http://1.itv.nctv.top:8111/gaoma/cctv2.m3u8
CCTV3,http://1.itv.nctv.top:8111/gaoma/cctv3.m3u8
CCTV4,http://1.itv.nctv.top:8111/gaoma/cctv4.m3u8
CCTV5,http://1.itv.nctv.top:8111/gaoma/cctv5.m3u8
CCTV5+,http://1.itv.nctv.top:8111/gaoma/cctv5p.m3u8
CCTV6,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8
CCTV7,http://1.itv.nctv.top:8111/gaoma/cctv7.m3u8
CCTV8,http://1.itv.nctv.top:8111/gaoma/cctv8.m3u8
CCTV9,http://1.itv.nctv.top:8111/gaoma/cctv9.m3u8
CCTV10,http://1.itv.nctv.top:8111/gaoma/cctv10.m3u8
CCTV11,http://1.itv.nctv.top:8111/gaoma/cctv11.m3u8
CCTV12,http://1.itv.nctv.top:8111/gaoma/cctv12.m3u8
CCTV13,http://1.itv.nctv.top:8111/gaoma/cctv13.m3u8
CCTV14,http://1.itv.nctv.top:8111/gaoma/cctv14.m3u8
CCTV15,http://1.itv.nctv.top:8111/gaoma/cctv15.m3u8
CCTV16,http://1.itv.nctv.top:8111/gaoma/cctv16.m3u8
CCTV17,http://1.itv.nctv.top:8111/gaoma/cctv17.m3u8
CCTV164K,http://1.itv.nctv.top:8111/gaoma/cctv4k16.m3u8
CCTV4K,http://1.itv.nctv.top:8111/gaoma/cctv4k_10m.m3u8
CCTV8K,http://1.itv.nctv.top:8111/gaoma/cctv8k_36m.m3u8


CCTV1,http://220.175.133.123:8008/udp/239.252.219.200:5140
CCTV2,http://220.175.133.123:8008/udp/239.252.220.183:5140
CCTV3,http://220.175.133.123:8008/udp/239.252.219.252:5140#http://220.175.133.123:8008/udp/239.252.220.193:5140
CCTV4,http://220.175.133.123:8008/udp/239.252.220.184:5140
CCTV5+,http://220.175.133.123:8008/udp/239.252.219.72:5140
CCTV5,http://220.175.133.123:8008/udp/239.252.219.198:5140#http://220.175.133.123:8008/udp/239.252.219.236:5140
CCTV6,http://220.175.133.123:8008/udp/239.252.219.237:5140#http://220.175.133.123:8008/udp/239.252.220.195:5140
CCTV7,http://220.175.133.123:8008/udp/239.252.220.185:5140
CCTV8,http://220.175.133.123:8008/udp/239.252.219.253:5140#http://220.175.133.123:8008/udp/239.252.220.196:5140
CCTV9,http://220.175.133.123:8008/udp/239.252.220.186:5140
CCTV10,http://220.175.133.123:8008/udp/239.252.220.91:5140
CCTV11,http://220.175.133.123:8008/udp/239.252.219.78:5140
CCTV12,http://220.175.133.123:8008/udp/239.252.220.187:5140
CCTV13,http://220.175.133.123:8008/udp/239.252.219.139:5140
CCTV14,http://220.175.133.123:8008/udp/239.252.220.92:5140
CCTV15,http://220.175.133.123:8008/udp/239.252.219.79:5140
CCTV16,http://220.175.133.123:8008/udp/239.252.219.70:5140
CCTV17,http://220.175.133.123:8008/udp/239.252.220.192:5140
CCTV164K,http://220.175.133.123:8008/udp/239.252.220.237:5140
CCTV4-欧洲,http://220.175.133.123:8008/udp/239.252.219.192:5140
CCTV4-美洲,http://220.175.133.123:8008/udp/239.252.219.193:5140
CHC动作电影,http://220.175.133.123:8008/udp/239.252.219.85:5140
CHC影迷电影,http://220.175.133.123:8008/udp/239.252.219.83:5140
CHC家庭影院,http://220.175.133.123:8008/udp/239.252.219.84:5140
CCTV第一剧场,http://220.175.133.123:8008/udp/239.252.219.86:5140
CCTV风云剧场,http://220.175.133.123:8008/udp/239.252.219.89:5140
CCTV怀旧剧场,http://220.175.133.123:8008/udp/239.252.219.90:5140
CCTV风云足球,http://220.175.133.123:8008/udp/239.252.219.96:5140
CCTV电视指南,http://220.175.133.123:8008/udp/239.252.219.97:5140
CCTV兵器科技,http://220.175.133.123:8008/udp/239.252.219.98:5140
CCTV央视台球,http://220.175.133.123:8008/udp/239.252.219.80:5140
CCTV央视文化精品,http://220.175.133.123:8008/udp/239.252.219.81:5140
CCTV世界地理,http://220.175.133.123:8008/udp/239.252.219.93:5140
CCTV高尔夫网球,http://220.175.133.123:8008/udp/239.252.219.95:5140
CCTV风云音乐,http://220.175.133.123:8008/udp/239.252.219.87:5140


CCTV1,http://nctv.top/IDOEPpiryt/bfgd.php?id=488
CCTV2,http://nctv.top/IDOEPpiryt/bfgd.php?id=061
CCTV3,http://nctv.top/IDOEPpiryt/bfgd.php?id=062
CCTV4,http://nctv.top/IDOEPpiryt/bfgd.php?id=063
CCTV5,http://nctv.top/IDOEPpiryt/bfgd.php?id=064
CCTV5+,http://nctv.top/IDOEPpiryt/bfgd.php?id=246
CCTV6,http://nctv.top/IDOEPpiryt/bfgd.php?id=065
CCTV7,http://nctv.top/IDOEPpiryt/bfgd.php?id=127
CCTV8,http://nctv.top/IDOEPpiryt/bfgd.php?id=066
CCTV9,http://nctv.top/IDOEPpiryt/bfgd.php?id=128
CCTV10,http://nctv.top/IDOEPpiryt/bfgd.php?id=129
CCTV11,http://nctv.top/IDOEPpiryt/bfgd.php?id=130
CCTV12,http://nctv.top/IDOEPpiryt/bfgd.php?id=131
CCTV13,http://nctv.top/IDOEPpiryt/bfgd.php?id=067
CCTV14,http://nctv.top/IDOEPpiryt/bfgd.php?id=132
CCTV15,http://nctv.top/IDOEPpiryt/bfgd.php?id=133
CCTV16,https://yunmei.tv/main/cctv-16.m3u8
CCTV17,http://nctv.top/IDOEPpiryt/bfgd.php?id=204

CCTV1,http://39.170.52.236:808/hls/1/index.m3u8
CCTV2,http://39.170.52.236:808/hls/2/index.m3u8
CCTV3,http://39.170.52.236:808/hls/3/index.m3u8
CCTV4,http://39.170.52.236:808/hls/4/index.m3u8
CCTV5,http://39.170.52.236:808/hls/5/index.m3u8
CCTV5+,http://39.170.52.236:808/hls/18/index.m3u8
CCTV6,http://39.170.52.236:808/hls/6/index.m3u8
CCTV7,http://39.170.52.236:808/hls/7/index.m3u8
CCTV8,http://39.170.52.236:808/hls/8/index.m3u8
CCTV9,http://39.170.52.236:808/hls/9/index.m3u8
CCTV10,http://39.170.52.236:808/hls/10/index.m3u8
CCTV11,http://39.170.52.236:808/hls/11/index.m3u8
CCTV12,http://39.170.52.236:808/hls/12/index.m3u8
CCTV13,http://39.170.52.236:808/hls/13/index.m3u8
CCTV16,http://39.170.52.236:808/hls/16/index.m3u8
CCTV17,http://39.170.52.236:808/hls/17/index.m3u8




CCTV1,http://119.123.178.255:8086/hls/2/index.m3u8
CCTV2,http://119.123.178.255:8086/hls/3/index.m3u8
CCTV3,http://119.123.178.255:8086/hls/4/index.m3u8
